,$type,title,hidden,translationSetId,language,id,created,modified,createdBy,modifiedBy,hasDynamicValueTags
99,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",75 Jahre Freiheit,False,5a56ed2f-820c-4577-9b38-5fb10a99fb36,de,d4fd6b80-f76b-45a4-5282-08d848dbd1aa,2020-08-27T10:37:44.7624166+00:00,2020-08-27 10:37:44.815356+00:00,,,False
100,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",Skulptur,True,a2ae6965-c81e-4143-9000-1d3d6d1610cb,de,46378b44-30c0-4101-5283-08d848dbd1aa,2020-08-27T10:38:01.5008981+00:00,2020-09-10 12:44:31.684644300+00:00,,,False
101,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",Kultur,False,b93da815-45c3-41ff-8221-c9492435521b,de,dc47b671-5c23-4a89-5284-08d848dbd1aa,2020-08-27T10:38:56.3333813+00:00,2020-08-27 10:38:56.386191900+00:00,,,False
102,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",Fotografie,False,cf217960-3e33-4bb4-a162-826b046e4cbd,de,4cdf310a-e761-4a3f-5285-08d848dbd1aa,2020-08-27T10:39:13.1404438+00:00,2020-08-27 10:39:13.197536400+00:00,,,False
103,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",Malerei,False,b71ace37-4a12-46ea-bfb4-e2335f525032,de,9bff8b79-454c-45c7-5286-08d848dbd1aa,2020-08-27T10:39:29.4869684+00:00,2020-08-27 10:39:29.543385400+00:00,,,False
104,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",Technik,False,d8af6921-342c-4899-aa07-90e474aaf8e7,de,e1ea2905-32b3-4a71-5287-08d848dbd1aa,2020-08-27T10:39:51.7917417+00:00,2020-08-27 10:39:51.841275700+00:00,,,False
105,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",Maritim,False,edac6582-6f09-49b2-8511-b284d38b0c61,de,e326d72b-67cf-4129-5288-08d848dbd1aa,2020-08-27T10:40:11.6150298+00:00,2020-08-27 10:40:11.666388400+00:00,,,False
106,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",Druckgrafik,True,fb0e9d34-d450-4751-9daf-7e6b05592725,de,c881d77c-eee0-4407-5289-08d848dbd1aa,2020-08-27T10:46:14.9844115+00:00,2020-09-10 07:49:09.920666900+00:00,,,False
107,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",Natur,True,b2eea377-cf24-4d90-a96e-3aa6a8faa747,de,a56bb647-d93b-4f67-528a-08d848dbd1aa,2020-08-27T10:52:38.3622167+00:00,2020-09-10 07:49:49.755890700+00:00,,,False
108,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",herfstvakantie,True,2b91fac4-c3bb-46c3-a146-05eaa8305a91,nl,355b26e3-ca5c-456c-1cf4-08d84d91d040,2020-08-31T09:39:53.2091558+00:00,2020-09-10 07:47:29.834554900+00:00,,,False
109,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",heksenvervolging,True,19645e09-e9a5-4084-976a-b34892992b66,nl,8cfa4a78-596c-4c3c-3e97-08d87b535483,2020-11-05T09:27:33.4415103+00:00,2020-11-20 09:39:44.834142100+00:00,,,False
110,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",spiritualiteit,True,4be1a90d-6bed-4af7-a32a-2d5f44a31197,nl,2c840b85-6b96-4080-3e98-08d87b535483,2020-11-05T09:27:50.474634+00:00,2020-11-20 09:37:46.732205100+00:00,,,False
111,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",geneeskunde,True,bf5e5586-ad68-46a8-a5de-79c09759fbdc,nl,af24d8ab-e7ce-4436-3e99-08d87b535483,2020-11-05T09:27:58.8592696+00:00,2020-11-20 09:37:57.719877900+00:00,,,False
