,publicName,translationSetId,small_museum,visual,culture,naval,nature,tech,ethnology,architectonic,educative,art_museum,historic_museum,science,military,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,art_galleries,historic_location,castles,churches,children,gardens,audiotour,exhibition,lecture,scavenger,library,openair,parking,weelchair,disabled,trainstation,restaurant
97,Het Sterkenhuis,32a3dcad-8124-4eff-b874-36e2caaee03e,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
98,Museum Kennemerland,3300f29e-d2c4-45f7-8cb4-a87a4ac23d55,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
99,Museum Volkenkunde,33fdc6ef-026e-4a2d-afc1-8b56f1ed6a08,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
100,Museum De Wemme,351d1594-300a-4b56-be83-252adf11bcc4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
101,De Koperen Knop,35f1cf6b-a0d7-45d3-97e1-50af18c929c1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
102,Marie Tak van Poortvliet Museum,35fbec41-a299-4e7a-ae03-a063e4d4e5f7,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
103,Historiehuis Roermond,368607b3-1085-4b46-9f41-3204431b0545,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
104,Museum Tromp's Huys,36da426c-d98f-41bc-ba5a-770e4412f569,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
105,Museum MORE | Kasteel Ruurlo,379238fb-bb67-4f77-9e80-6476a433713f,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
106,Museum Waelstee,37e493ef-e985-4774-a856-fb44640c0ee0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
